"","DPA_PARROQ","DPA_DESPRO","DPA_DESCAN","DPA_DESPAR","pwettest","pop2","pdriest","max","min","tseason","m_prob"
"644","071257","EL ORO","SANTA ROSA","BELLAMARIA",160,3490,13,31.507999420166,18.7919998168945,88.8618621826172,0.0448789271607557
"645","071350","EL ORO","ZARUMA","ZARUMA",266,766,4,29.1520004272461,16.2199993133545,21.9106979370117,0.289127489076019
"646","071351","EL ORO","ZARUMA","ABAÑIN",196,4282,5,26.7360000610352,14.6120004653931,15.5851707458496,0.211382526966292
"647","071352","EL ORO","ZARUMA","ARCAPAMBA",226,1640,2,26.6480007171631,14.1000003814697,17.9145183563232,0.227669738760279
"648","071353","EL ORO","ZARUMA","GUANAZAN",141,3237,8,21.5599994659424,9.02400016784668,19.384672164917,0.120261450688452
"649","071354","EL ORO","ZARUMA","GUIZHAGUIÑA",161,5226,11,22.564001083374,10.3800001144409,18.3855838775635,0.1481943167281
"650","071355","EL ORO","ZARUMA","HUERTAS",182,2091,4,23.4120006561279,11.2119998931885,17.0765419006348,0.155424309467067
"651","071356","EL ORO","ZARUMA","MALVAS",267,22,4,29.7959995269775,16.5960006713867,25.587833404541,0.281020615592093
"652","071357","EL ORO","ZARUMA","MULUNCAY GRANDE",270,381,3,28.9839992523193,16,22.2268409729004,0.289720412956313
"653","071358","EL ORO","ZARUMA","SINSAO",186,1134,4,24.1480007171631,12.0240001678467,19.5970497131348,0.147172221616074
"654","071359","EL ORO","ZARUMA","SALVIAS",175,2949,5,23.931999206543,11.7840003967285,18.63014793396,0.151564161141254
"655","071450","EL ORO","LAS LAJAS","LA VICTORIA",178,8031,3,30.9200000762939,18.068000793457,85.7576446533203,0.067148356325042
"656","071451","EL ORO","LAS LAJAS","LA LIBERTAD",226,6121,2,29.9519996643066,16.9559993743896,68.1667633056641,0.121045525782765
"657","071452","EL ORO","LAS LAJAS","EL PARAISO",240,5278,4,29.5440006256104,16.935998916626,56.6738204956055,0.149157481657298
"658","071453","EL ORO","LAS LAJAS","SAN ISIDRO",245,1248,6,29.0839996337891,16.7800006866455,50.6291389465332,0.136806066828954
"659","090150","GUAYAS","GUAYAQUIL","GUAYAQUIL",208,11381,1,30.8439998626709,18.9200000762939,113.985847473145,0.0421868787523806
"660","090152","GUAYAS","GUAYAQUIL","JUAN GOMEZ RENDON (PROGRESO)",138,311,14,30.576000213623,17.8159999847412,129.378936767578,0.0122827155518901
"661","090153","GUAYAS","GUAYAQUIL","MORRO",139,1112,4,30.988000869751,18.0200004577637,139.529602050781,0.0106434773253385
"662","090156","GUAYAS","GUAYAQUIL","POSORJA",132,126,1,30.8439998626709,18.2040004730225,141.997314453125,0.00847771732539637
"663","090157","GUAYAS","GUAYAQUIL","PUNA",127,1730,2,31.1599998474121,18.92799949646,128.458114624023,0.0115276105765351
"664","090158","GUAYAS","GUAYAQUIL","TENGUEL",126,1469,15,31.6639995574951,19.1160011291504,107.541488647461,0.0203376908107624
"665","090250","GUAYAS","ALFREDO BAQUERIZO MORENO","ALFREDO BAQUERIZO MORENO (JUJAN)",387,2500,2,30.9839992523193,19.2959995269775,101.149574279785,0.113435202171411
